funding,keyword,sum_paper
Hibah PITTA - Universitas Indonesia,focus area,1
Hibah PITTA - Universitas Indonesia,business analytics,1
Hibah PITTA - Universitas Indonesia,data openness index,1
Hibah PITTA - Universitas Indonesia,e-government service quality,1
Hibah PITTA - Universitas Indonesia,sdppi,1
Hibah PITTA - Universitas Indonesia,multiple criteria decision analysis (mcda),1
Hibah PITTA - Universitas Indonesia,kominfo,1
Hibah PITTA - Universitas Indonesia,appraisal theory,1
Hibah PITTA - Universitas Indonesia,indonesia customs,1
Hibah PITTA - Universitas Indonesia,government social media,1
Hibah PITTA - Universitas Indonesia,peer-to-peer accommodation,1
Hibah PITTA - Universitas Indonesia,technologies,1
Hibah PITTA - Universitas Indonesia,key topics,1
Hibah PITTA - Universitas Indonesia,referral,1
Hibah PITTA - Universitas Indonesia,neonatal,1
Hibah PITTA - Universitas Indonesia,maternal,1
Hibah PITTA - Universitas Indonesia,user awareness,1
Hibah PITTA - Universitas Indonesia,socialmedia,1
Hibah PITTA - Universitas Indonesia,spearman correlation,1
Hibah PITTA - Universitas Indonesia,pearson correlation,1
Hibah PITTA - Universitas Indonesia,gold standard,1
Hibah PITTA - Universitas Indonesia,master data,1
Hibah PITTA - Universitas Indonesia,data-fusion,1
Hibah PITTA - Universitas Indonesia,papua,1
Hibah PITTA - Universitas Indonesia,neural network algorithm,1
Hibah PITTA - Universitas Indonesia,social network sites,1
Hibah PITTA - Universitas Indonesia,learning experience,1
Hibah PITTA - Universitas Indonesia,instagram-for-business,1
Hibah PITTA - Universitas Indonesia,implementation challenges,1
Hibah PITTA - Universitas Indonesia,sampling data,1
Hibah PITTA - Universitas Indonesia,researcher mobility,1
Hibah PITTA - Universitas Indonesia,related entities,1
Hibah PITTA - Universitas Indonesia,qualitative methodologies,1
Hibah PITTA - Universitas Indonesia,innovative product,1
Hibah PITTA - Universitas Indonesia,government services,1
Hibah PITTA - Universitas Indonesia,software development method,1
Hibah PITTA - Universitas Indonesia,strategy formulation,1
Hibah PITTA - Universitas Indonesia,social media strategies,1
Hibah PITTA - Universitas Indonesia,qspm,1
Hibah PITTA - Universitas Indonesia,public diplomacy,1
Hibah PITTA - Universitas Indonesia,pest analysis,1
Hibah PITTA - Universitas Indonesia,mckinsey 7s framework,1
Hibah PITTA - Universitas Indonesia,scottish smart city maturity model,1
Hibah PITTA - Universitas Indonesia,b2c,1
Hibah PITTA - Universitas Indonesia,e-consultation,1
Hibah PITTA - Universitas Indonesia,payment system,1
Hibah PITTA - Universitas Indonesia,financial technology (fintech),1
Hibah PITTA - Universitas Indonesia,sns,1
Hibah PITTA - Universitas Indonesia,student learning,1
Hibah PITTA - Universitas Indonesia,sar-interferometry,1
Hibah PITTA - Universitas Indonesia,knowledge management system success model,1
Hibah PITTA - Universitas Indonesia,review credibility,1
Hibah PITTA - Universitas Indonesia,restaurant recommender,1
Hibah PITTA - Universitas Indonesia,photos,1
Hibah PITTA - Universitas Indonesia,personalization features,1
Hibah PITTA - Universitas Indonesia,state-owned company (soe),1
Hibah PITTA - Universitas Indonesia,mobile wallet,1
Hibah PITTA - Universitas Indonesia,continuance usage,1
Hibah PITTA - Universitas Indonesia,initial trust,1
Hibah PITTA - Universitas Indonesia,ontology-based application,1
Hibah PITTA - Universitas Indonesia,owl and bayesian network integration,1
Hibah PITTA - Universitas Indonesia,ontology enrichment,1
Hibah PITTA - Universitas Indonesia,bynowlife,1
Hibah PITTA - Universitas Indonesia,bayesian network structural adjustment,1
Hibah PITTA - Universitas Indonesia,research laboratory,1
Hibah PITTA - Universitas Indonesia,criticalknowledge,1
Hibah PITTA - Universitas Indonesia,e-research,1
Hibah PITTA - Universitas Indonesia,national archives information system,1
Hibah PITTA - Universitas Indonesia,atom,1
Hibah PITTA - Universitas Indonesia,access to memory,1
Hibah PITTA - Universitas Indonesia,oil and gas industry,1
Hibah PITTA - Universitas Indonesia,knowledge management maturity model,1
Hibah PITTA - Universitas Indonesia,electronic wallet,1
Hibah PITTA - Universitas Indonesia,electronic transaction,1
Hibah PITTA - Universitas Indonesia,digital cash,1
Hibah PITTA - Universitas Indonesia,desk research,1
Hibah PITTA - Universitas Indonesia,dual process theory,1
Hibah PITTA - Universitas Indonesia,health inequity,1
Hibah PITTA - Universitas Indonesia,probabilistic graphical model,1
Hibah PITTA - Universitas Indonesia,continuous conditional random field,1
Hibah PITTA - Universitas Indonesia,pointnet,1
Hibah PITTA - Universitas Indonesia,point cloud,1
Hibah PITTA - Universitas Indonesia,lidar,1
Hibah PITTA - Universitas Indonesia,logical inference,1
Hibah PITTA - Universitas Indonesia,improved techniques,1
Hibah PITTA - Universitas Indonesia,program transformations,1
Hibah PITTA - Universitas Indonesia,logic programs,1
Hibah PITTA - Universitas Indonesia,its applications,1
Hibah PITTA - Universitas Indonesia,implementation aspects,1
Hibah PITTA - Universitas Indonesia,decision-based,1
Hibah PITTA - Universitas Indonesia,adaptive ability,1
Hibah PITTA - Universitas Indonesia,mnist,1
Hibah PITTA - Universitas Indonesia,microcanonical annealing,1
Hibah PITTA - Universitas Indonesia,metaheuristic,1
Hibah PITTA - Universitas Indonesia,cifar10,1
Hibah PITTA - Universitas Indonesia,spot-6,1
Hibah PITTA - Universitas Indonesia,sentinel-ia,1
Hibah PITTA - Universitas Indonesia,online trading,1
Hibah PITTA - Universitas Indonesia,tra,1
Hibah PITTA - Universitas Indonesia,human resource information system,1
Hibah PITTA - Universitas Indonesia,critical success factors (cfs),1
Hibah PITTA - Universitas Indonesia,b2c e-commerce,1
Hibah PITTA - Universitas Indonesia,information systems integration,1
Hibah PITTA - Universitas Indonesia,finance management information systems,1
Hibah PITTA - Universitas Indonesia,data flow,1
Hibah PITTA - Universitas Indonesia,software process improvement,1
Hibah PITTA - Universitas Indonesia,process area (pa),1
Hibah PITTA - Universitas Indonesia,global software development (gsd),1
Hibah PITTA - Universitas Indonesia,capability maturity model integration (cmmi),1
Hibah PITTA - Universitas Indonesia,project management office (pmo),1
Hibah PITTA - Universitas Indonesia,ticket booking mobile application,1
Hibah PITTA - Universitas Indonesia,state-owned enterprise,1
Hibah PITTA - Universitas Indonesia,presidential election,1
Hibah PITTA - Universitas Indonesia,criteria analysis,1
Hibah PITTA - Universitas Indonesia,mclean is success model,1
Hibah PITTA - Universitas Indonesia,emergency service,1
Hibah PITTA - Universitas Indonesia,delone,1
Hibah PITTA - Universitas Indonesia,high school student,1
Hibah PITTA - Universitas Indonesia,tourism information,1
Hibah PITTA - Universitas Indonesia,social exchange theory,1
Hibah PITTA - Universitas Indonesia,social cognnitive theory,1
Hibah PITTA - Universitas Indonesia,bureaucratic reform,1
Hibah PITTA - Universitas Indonesia,fuzzy-ahp,1
Faculty of Computer Science - Universitas Indonesia,lembaga kebijakan pengadaan barang/jasa pemerintah,1
Hibah PITTA - Universitas Indonesia,wikipedia,1
Hibah PITTA - Universitas Indonesia,application programs,1
Hibah PITTA - Universitas Indonesia,random processes,1
Hibah PITTA - Universitas Indonesia,human computer interaction,1
Hibah PITTA - Universitas Indonesia,machine learning approaches,1
Hibah PITTA - Universitas Indonesia,recommender system,1
Hibah PITTA - Universitas Indonesia,organizational culture,1
Hibah PITTA - Universitas Indonesia,sme,1
Hibah PITTA - Universitas Indonesia,utaut,1
Hibah PITTA - Universitas Indonesia,slr,1
Hibah PITTA - Universitas Indonesia,swot analysis,1
Hibah PITTA - Universitas Indonesia,success factor,1
Hibah PITTA - Universitas Indonesia,satisfaction,1
Hibah PITTA - Universitas Indonesia,importance performance analysis,1
Hibah PITTA - Universitas Indonesia,prototype,1
Hibah PITTA - Universitas Indonesia,indonesians,1
Hibah PITTA - Universitas Indonesia,decision tree,1
Hibah PITTA - Universitas Indonesia,image processing,1
Hibah PITTA - Universitas Indonesia,knowledge acquisition,1
Hibah PITTA - Universitas Indonesia,computation theory,1
Hibah PITTA - Universitas Indonesia,data compression,1
Hibah PITTA - Universitas Indonesia,convolutional neural networks,1
Hibah PITTA - Universitas Indonesia,computer aided instruction,1
Hibah PITTA - Universitas Indonesia,smart city,1
Hibah PITTA - Universitas Indonesia,indonesian language,1
Hibah PITTA - Universitas Indonesia,literature studies,1
Hibah PITTA - Universitas Indonesia,real-world,1
Hibah PITTA - Universitas Indonesia,computer architecture,1
Hibah PITTA - Universitas Indonesia,e-wom,1
Hibah PITTA - Universitas Indonesia,structural equational modeling,1
Hibah PITTA - Universitas Indonesia,e-procurement,1
Hibah PITTA - Universitas Indonesia,e-payment,1
Hibah PITTA - Universitas Indonesia,intention,1
Hibah PITTA - Universitas Indonesia,acceptance factor,1
Hibah PITTA - Universitas Indonesia,e-marketplace,1
Hibah PITTA - Universitas Indonesia,business intelligence,1
Hibah PITTA - Universitas Indonesia,structural equation modelling,1
Hibah PITTA - Universitas Indonesia,data quality,1
Hibah PITTA - Universitas Indonesia,quality function deployment,1
Hibah PITTA - Universitas Indonesia,gap analysis,1
Hibah PITTA - Universitas Indonesia,word embedding,1
Hibah PITTA - Universitas Indonesia,certificate policy,1
Hibah PITTA - Universitas Indonesia,electrocardiogram,1
Hibah PITTA - Universitas Indonesia,sleep research,1
Hibah PITTA - Universitas Indonesia,pedagogical agent,1
Hibah PITTA - Universitas Indonesia,lstm,1
Hibah PITTA - Universitas Indonesia,knowledge management strategy,1
Hibah PITTA - Universitas Indonesia,cryptography,1
Hibah PITTA - Universitas Indonesia,dbpedia,1
Hibah PITTA - Universitas Indonesia,modeling languages,1
Hibah PITTA - Universitas Indonesia,rule based,1
Hibah PITTA - Universitas Indonesia,framework,1
Hibah PITTA - Universitas Indonesia,support vector machine,1
Hibah PITTA - Universitas Indonesia,remote sensing,1
Hibah PITTA - Universitas Indonesia,smes,1
Hibah PITTA - Universitas Indonesia,e-business,1
Hibah PITTA - Universitas Indonesia,data integration,1
Hibah PITTA - Universitas Indonesia,generalized learning vector quantization,1
Hibah PITTA - Universitas Indonesia,adoption,1
Hibah PITTA - Universitas Indonesia,natural language processing systems,1
Hibah PITTA - Universitas Indonesia,classification (of information),1
Hibah PITTA - Universitas Indonesia,optimization,1
Hibah PITTA - Universitas Indonesia,particle swarm optimization (pso),1
Hibah PITTA - Universitas Indonesia,feature extraction,1
Hibah PITTA - Universitas Indonesia,neural networks,1
Hibah PITTA - Universitas Indonesia,computer science,1
LPDP-BUDI DN,awareness,1
LPDP-BUDI DN,implementation,1
LPDP-BUDI DN,structural equation modeling,1
LPDP-BUDI DN,model,1
LPDP-BUDI DN,it governance,1
"Ministry of Science and Technology, Taiwan, ROC (Republic of China)",buying tendency,1
Hibah PITTA - Universitas Indonesia,electrocardiography,1
Hibah PITTA - Universitas Indonesia,knowledge representation,1
Hibah PITTA - Universitas Indonesia,soft system methodology,1
Hibah PITTA - Universitas Indonesia,personalization,1
Hibah PITTA - Universitas Indonesia,business process,1
Hibah PITTA - Universitas Indonesia,data management,1
Hibah PITTA - Universitas Indonesia,repurchase intention,1
Hibah PITTA - Universitas Indonesia,attitude,1
Hibah PITTA - Universitas Indonesia,usability testing,1
Hibah PITTA - Universitas Indonesia,computer vision,1
Hibah PITTA - Universitas Indonesia,government human capital management,1
Hibah PITTA - Universitas Indonesia,user interfaces,1
Hibah PITTA - Universitas Indonesia,continuance intention,1
Hibah PITTA - Universitas Indonesia,fpga,1
Hibah PITTA - Universitas Indonesia,content analysis,1
Hibah PITTA - Universitas Indonesia,extreme learning machine,1
Hibah PITTA - Universitas Indonesia,support vector machines,1
Hibah PITTA - Universitas Indonesia,named entity recognition,1
Hibah PITTA - Universitas Indonesia,websites,1
Hibah PITTA - Universitas Indonesia,innovation,1
Hibah PITTA - Universitas Indonesia,social commerce,1
Hibah PITTA - Universitas Indonesia,technology acceptance model,1
Hibah PITTA - Universitas Indonesia,motivation,1
Hibah PITTA - Universitas Indonesia,systematic review,1
Hibah PITTA - Universitas Indonesia,knowledge engineering,1
Hibah PITTA - Universitas Indonesia,recurrent neural networks,1
Hibah PITTA - Universitas Indonesia,in-vitro,1
Hibah PITTA - Universitas Indonesia,javanese character,1
Hibah PITTA - Universitas Indonesia,knowledge management readiness,1
Hibah PITTA - Universitas Indonesia,literature reviews,1
Hibah PITTA - Universitas Indonesia,e-government applications,1
Hibah PITTA - Universitas Indonesia,mapping,1
Hibah PITTA - Universitas Indonesia,word accuracies,1
Hibah PITTA - Universitas Indonesia,smart government,1
Hibah PITTA - Universitas Indonesia,e-voting,1
Hibah PITTA - Universitas Indonesia,unified theory of acceptance and use of technology,1
Hibah PITTA - Universitas Indonesia,contingency factors,1
Hibah PITTA - Universitas Indonesia,categorization,1
Hibah PITTA - Universitas Indonesia,crowdfunding,1
Hibah PITTA - Universitas Indonesia,computational logic,1
Hibah PITTA - Universitas Indonesia,intelligent agents,1
Hibah PITTA - Universitas Indonesia,pattern matching,1
Hibah PITTA - Universitas Indonesia,convolutional neural networks (cnn),1
Hibah PITTA - Universitas Indonesia,mining,1
Hibah PITTA - Universitas Indonesia,sentence classifications,1
Hibah PITTA - Universitas Indonesia,relation extraction,1
Hibah PITTA - Universitas Indonesia,assessment,1
Hibah PITTA - Universitas Indonesia,implementation strategy,1
Hibah PITTA - Universitas Indonesia,open source software,1
Hibah PITTA - Universitas Indonesia,measurement,1
Hibah PITTA - Universitas Indonesia,bayesian network,1
Hibah PITTA - Universitas Indonesia,data privacy,1
Hibah PITTA - Universitas Indonesia,branchless banking,1
Hibah PITTA - Universitas Indonesia,mammals,1
Hibah PITTA - Universitas Indonesia,field programmable gate arrays (fpga),1
Hibah PITTA - Universitas Indonesia,compression,1
Hibah PITTA - Universitas Indonesia,reed solomon,1
Hibah PITTA - Universitas Indonesia,galos field,1
Hibah PITTA - Universitas Indonesia,real time,1
Hibah PITTA - Universitas Indonesia,data distribution,1
Hibah PITTA - Universitas Indonesia,data dimensions,1
Hibah PITTA - Universitas Indonesia,computer programming languages,1
Hibah PITTA - Universitas Indonesia,question answering systems,1
Hibah PITTA - Universitas Indonesia,question answering,1
Hibah PITTA - Universitas Indonesia,multivariate regression,1
Hibah PITTA - Universitas Indonesia,high quality,1
Hibah PITTA - Universitas Indonesia,visual languages,1
Hibah PITTA - Universitas Indonesia,lexicon,1
Hibah PITTA - Universitas Indonesia,hate speech,1
Hibah PITTA - Universitas Indonesia,roadmap,1
Hibah PITTA - Universitas Indonesia,mobile devices,1
Hibah PITTA - Universitas Indonesia,learning analytics,1
Hibah PITTA - Universitas Indonesia,ux aspects,1
Hibah PITTA - Universitas Indonesia,grab,1
Hibah PITTA - Universitas Indonesia,abstract behavioral specification,1
Hibah PITTA - Universitas Indonesia,information system development,1
Hibah PITTA - Universitas Indonesia,erp benefit,1
Hibah PITTA - Universitas Indonesia,business benefit,1
Hibah PITTA - Universitas Indonesia,vhdl,1
Hibah PITTA - Universitas Indonesia,galois field,1
Hibah PITTA - Universitas Indonesia,text classification,1
Hibah PITTA - Universitas Indonesia,ner,1
Hibah PITTA - Universitas Indonesia,learning management system,1
Hibah PITTA - Universitas Indonesia,enterprise resource planning (erp),1
Hibah PITTA - Universitas Indonesia,mobile commerce,1
Hibah PITTA - Universitas Indonesia,go-jek,1
Hibah PITTA - Universitas Indonesia,learning process,1
Hibah PITTA - Universitas Indonesia,knowledge mapping,1
Hibah PITTA - Universitas Indonesia,sign language,1
Hibah PITTA - Universitas Indonesia,character level,1
Hibah PITTA - Universitas Indonesia,speech analysis,1
Hibah PITTA - Universitas Indonesia,features,1
Hibah PITTA - Universitas Indonesia,hadoop,1
Hibah PITTA - Universitas Indonesia,bitcoin,1
Hibah PITTA - Universitas Indonesia,e-tourism,1
Hibah PITTA - Universitas Indonesia,knowledge based systems,1
Hibah PITTA - Universitas Indonesia,cross validation,1
Hibah PITTA - Universitas Indonesia,random forest,1
Hibah PITTA - Universitas Indonesia,risk analysis,1
Hibah PITTA - Universitas Indonesia,human bodies,1
Hibah PITTA - Universitas Indonesia,public key infrastructure,1
Hibah PITTA - Universitas Indonesia,certification practice statement,1
Hibah PITTA - Universitas Indonesia,information security awareness,1
Hibah PITTA - Universitas Indonesia,small medium enterprise,1
Hibah PITTA - Universitas Indonesia,conceptual frameworks,1
Hibah PITTA - Universitas Indonesia,e-marketplaces,1
Hibah PITTA - Universitas Indonesia,online community,1
Hibah PITTA - Universitas Indonesia,social enterprise,1
Hibah PITTA - Universitas Indonesia,user satisfaction,1
Hibah PITTA - Universitas Indonesia,developing countries,1
Hibah PITTA - Universitas Indonesia,external factors,1
Hibah PITTA - Universitas Indonesia,open data,1
Hibah PITTA - Universitas Indonesia,developing country,1
Hibah PITTA - Universitas Indonesia,cp,1
Hibah PITTA - Universitas Indonesia,data architecture,1
Hibah PITTA - Universitas Indonesia,privacy concern,1
Hibah PITTA - Universitas Indonesia,facebook,1
Hibah PITTA - Universitas Indonesia,semantic similarity,1
Hibah PITTA - Universitas Indonesia,ucd,1
Hibah PITTA - Universitas Indonesia,pedagogy,1
Hibah PITTA - Universitas Indonesia,maturity model,1
Hibah PITTA - Universitas Indonesia,barrier,1
Hibah PITTA - Universitas Indonesia,cps,1
Hibah PITTA - Universitas Indonesia,business,1
Hibah PITTA - Universitas Indonesia,culture,1
Hibah PITTA - Universitas Indonesia,product categories,1
Hibah PIT9 - Universitas Indonesia,od-mm,1
Hibah PIT9 - Universitas Indonesia,systematic literature,1
Hibah PIT9 - Universitas Indonesia,perceived product quality,1
Hibah PIT9 - Universitas Indonesia,perceived justice,1
Hibah PIT9 - Universitas Indonesia,continues usage,1
Hibah PIT9 - Universitas Indonesia,switching intention,1
Hibah PIT9 - Universitas Indonesia,push-pull-mooring,1
Hibah PIT9 - Universitas Indonesia,restaurant attributes,1
Hibah PIT9 - Universitas Indonesia,photo dataset,1
Hibah PIT9 - Universitas Indonesia,label,1
Hibah PIT9 - Universitas Indonesia,crowdsourced,1
Hibah PIT9 - Universitas Indonesia,large scale dataset,1
Hibah PIT9 - Universitas Indonesia,blood vessel,1
Hibah PIT9 - Universitas Indonesia,s-commerce,1
Hibah PIT9 - Universitas Indonesia,intention to buy,1
Hibah PIT9 - Universitas Indonesia,hashtag,1
Hibah PIT9 - Universitas Indonesia,peer-to-peer lending,1
Hibah PIT9 - Universitas Indonesia,texture feature,1
Hibah PIT9 - Universitas Indonesia,fundus images,1
Hibah PIT9 - Universitas Indonesia,diabetic retinopathy,1
Hibah PIT9 - Universitas Indonesia,gig worker,1
Hibah PIT9 - Universitas Indonesia,gig economy,1
Hibah PIT9 - Universitas Indonesia,bps,1
Hibah PIT9 - Universitas Indonesia,ogd,1
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,erp,1
Hibah PIT9 - Universitas Indonesia,influencing factors,1
Universitas Pasundan,tsp,1
Universitas Pasundan,parallel clonal selection algorithm,1
Universitas Pasundan,mpi.net,1
Universitas Pasundan,message passing model,1
Universitas Pasundan,csa,1
Universitas Pasundan,clonal selection algorithm,1
Hibah PIT9 - Universitas Indonesia,self-diagnosis,1
Hibah PIT9 - Universitas Indonesia,health platform,1
Hibah PIT9 - Universitas Indonesia,woman empowerment,1
Hibah PIT9 - Universitas Indonesia,peer to peer lending,1
Hibah PIT9 - Universitas Indonesia,gender equality,1
Hibah PIT9 - Universitas Indonesia,sap erp,1
Hibah PIT9 - Universitas Indonesia,best practice,1
Hibah PIT9 - Universitas Indonesia,sharia,1
Hibah PIT9 - Universitas Indonesia,religiosity,1
Hibah PIT9 - Universitas Indonesia,intention to invest,1
Hibah PIT9 - Universitas Indonesia,travel satisfaction,1
Hibah PIT9 - Universitas Indonesia,travel destination,1
Hibah PIT9 - Universitas Indonesia,travel,1
Hibah PIT9 - Universitas Indonesia,geotag,1
Hibah PIT9 - Universitas Indonesia,asia-pacific,1
Hibah PIT9 - Universitas Indonesia,open government data,1
Hibah PIT9 - Universitas Indonesia,maturity model,1
Hibah PIT9 - Universitas Indonesia,e-wom,1
Hibah PIT9 - Universitas Indonesia,e-marketplace,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,health information systems,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,threat,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,swot,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,strength,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,social media framework,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,ministry of finance,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,upoint,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,affect-behavior-cognition (abc),1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,delone & mclean,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,task technology fit,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,lkpp,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,developing country,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,hospitals,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,weakness,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,social media strategy,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,primary health care,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,stickiness,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,opportunity,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,importance performance analysis,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,e-participation,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,entropy,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,referral and consultation,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,public health,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,information science,1
Hibah PIT9 - Universitas Indonesia,pls-sem,1
Hibah PIT9 - Universitas Indonesia,tourism,1
Hibah PIT9 - Universitas Indonesia,satisfaction,1
Hibah PIT9 - Universitas Indonesia,toe,1
Hibah PIT9 - Universitas Indonesia,technology adoption,1
Hibah PIT9 - Universitas Indonesia,collaborative learning,1
Hibah PIT9 - Universitas Indonesia,enterprise resource planning,1
Hibah PIT9 - Universitas Indonesia,social commerce,1
Hibah PIT9 - Universitas Indonesia,soft system methodology,1
Hibah PIT9 - Universitas Indonesia,knowledge sharing,1
Hibah PIT9 - Universitas Indonesia,classification,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,expectation confirmation theory,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,public procurementplan,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,procurement personnel performance,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,implementation impact,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,stope framework,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,icts,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,e-complaint,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,the continuance of use,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,government-to-business,1
PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,g2b,1
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,classification,1
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,genetic algorithm,1
Hibah PITTA - Universitas Indonesia,ux dimensions,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,doppler shift,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,knowledge management design,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,healthcare knowledge management system,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,design compatible,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,diabetic retinopathy (dr),1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,knowledge management solution,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,foundation,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,telebiometric,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,fingerprint recognition,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,institutional logic,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,institutional isomorphism,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,institutional entrepreneurship,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,health information technology,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,electronic medical record,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,clinical information system,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,optimization algorithms,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,data representations,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,contingency factors,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,texture feature,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,lbp,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,patient,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,hospital service quality,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,managing medical,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,wind farm,1
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,naïve bayes,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,enhancement,1
Faculty of Computer Science - Universitas Indonesia,information system success,1
Faculty of Computer Science - Universitas Indonesia,delone and mclean,1
Faculty of Computer Science - Universitas Indonesia,lkpp,1
Faculty of Computer Science - Universitas Indonesia,complex network,1
Faculty of Computer Science - Universitas Indonesia,community detection,1
Faculty of Computer Science - Universitas Indonesia,e-procurement,1
Faculty of Computer Science - Universitas Indonesia,structural equation modelling,1
Faculty of Computer Science - Universitas Indonesia,social network analysis,1
Faculty of Computer Science - Universitas Indonesia,ahp,1
Faculty of Computer Science - Universitas Indonesia,trust,1
Faculty of Computer Science - Universitas Indonesia,e-government,1
Faculty of Computer Science - Universitas Indonesia,indonesia,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,deep neural networks,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,specific learning,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,neural networks model,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,neural network model,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,model accuracy,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,faster convergence,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,complex learning,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,uselm,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,ik-means,1
"Ministry of Science and Technology, Taiwan, ROC (Republic of China)",buying behaviour,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,institutional theory,1
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,quality,1
